127.0.0.1 - - [21/Sep/2020:21:58:00 -0400] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:14 -0400] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:14 -0400] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:14 -0400] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:14 -0400] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:14 -0400] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:14 -0400] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:14 -0400] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:14 -0400] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:14 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:29 -0400] "GET /jupiter HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:29 -0400] "GET /jupiter/ HTTP/1.1" 200 3908
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:29 -0400] "GET /jupiter/styles/main.css HTTP/1.1" 200 4555
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:29 -0400] "GET /jupiter/scripts/main.js HTTP/1.1" 200 16247
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:29 -0400] "GET /jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:36 -0400] "POST /jupiter/login HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [21/Sep/2020:21:58:42 -0400] "GET /jupiter/search?user_id=cc&lat=38.856294399999996&lon=-77.0441216 HTTP/1.1" 200 752
